Keyword,File name,No of comments,Date
Energy,,0,"Feb 15, 2015"
Solar energy,,0,"Mar 12, 2015"
Energy,,0,"Apr 27, 2017"
Energy,incida1,1,"Jan 8, 2020"
Energy,,0,"Feb 21, 2015"
Solar energy,incida2,2,"Mar 10, 2015"
Nuclear energy,incida3,1,"Apr 15, 2015"
Energy,incida4,1,"Jan 14, 2020"
Energy,incida5,2,"Mar 9, 2020"
,,,
,,,
,,,
,,,
,,,
Renewable energy,cnbc1,1,"Dec 5, 2018"
Energy,,0,"Sep 14, 2019"
Power,,0,"Dec 7, 2019"
Renewable energy,cnbc2,928,"Nov 28, 2019"
Wind energy,,0,"Mar 14, 2012"
Solar energy,cnbc3,3,"Mar 24, 2018"
Renewable energy,,0,"Jan 9, 2019"
Solar energy,,0,"Mar 30, 2018"
Energy,,0,"Jan 21, 2020"
Solar energy,,0,"Sep 21, 2019"
Renewable energy,,0,"Nov 22, 2019"
Energy,cnbc4,2368,2018
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,Goal is 300k
,,,
,,,
,,,
india energy fuel,r1,28,"Oct 13, 2018"
india energy fuel,r2,26,"Jan 30, 2020"
india energy fuel,r3,23,"Apr 11, 2018"
india energy fuel,r4,12,"May 17, 2019"
india energy fuel,r5,71,"Sep 16, 2019"
india energy fuel,r6,10,"Apr 7, 2018"
india energy fuel,r7,6,"Jun 5, 2015"
india energy fuel,r8,245,"Oct 17, 2018"
india energy fuel,r9,86,"Mar 12, 2018

"
india energy fuel,r10,17,"Mar 13, 2018"
india energy fuel,r11,26,"Oct 14, 2019"
india energy fuel,r12,5,"Aug 29, 2014"
india energy fuel,r13,53,"Feb 27, 2020"
india energy fuel,r14,25,"May 21, 2018"
india energy fuel,r15,35,"Jan 11, 2020"
india energy fuel,r16,20,"Aug 30, 2014"
india energy fuel,r17,114,"Mar 10, 2020"
india energy fuel,r18,141,"Apr 27, 2019"
india energy fuel,r19,35,"Jan 25, 2019"
india energy fuel,r20,1,"Feb 1, 2020"
india energy fuel,r21,108,"Oct 8, 2018"
india energy fuel,r22,1,"Nov 3, 2019"
india energy fuel,r23,7,"Dec 20, 2017"
india energy fuel,r24,8,"Oct 21, 2019"
india energy fuel,r25,3,"May 12, 2018"
india energy fuel,r26,4,"Nov 8, 2019"
,,1110,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
energy growth,energy1,5440,"Jul 6, 2018"
solar power,energy2,673,"Mar 30, 2016"
renewable energy,energy3,213,"May 26, 2017"
health environment,energy4,228,"May 31, 2017"
population energy,energy5,216,"Dec 27, 2010"
pollution,energy6,600,"Nov 13, 2017"
air pollution,energy7,2300,"Dec 12, 2016"
solar power,energy8,485,"Dec 29, 2018"
climate change,energy9,1608,"Aug 28, 2017"
acid rain,energy10,375,"Feb 27, 2018"
pollution,energy11,27887,"Jul 7, 2017"
,,40025,
,,,
,,,
,,40.3k comments done,
,,,
air pollution causes,energy12,1153,"Nov 7, 2019"
pollution india,energy13,872,"Nov 5, 2019"
air pollution causes,energy14,1120,"Nov 3, 2019"
,,3145,
,,,
,,,
,,40.6k comments,
,,,
,,,
petrol prices,energy15,1914,"May 28, 2018"
petrol prices,energy16,925,"Sep 15, 2017"
electricity prices,energy17,1015,"Mar 29, 2017"
pollution,energy18,8583,"Sep 9, 2017"
climate change,energy19,859,"May 28, 2016"
air pollution,energy20,3419,"May 15, 2018"
Delhi air,energy21,7914,"Dec 16, 2019"
,,24629,
,,,
,,,
,,,
,,65.2k,
,,,
,,,
,,,
india superpower fuel,energy22,10896,"Mar 29, 2019"
energy crisis,energy23,459,"Jul 3, 2019"
"energy hunger, blackout",energy24,495,"May 28, 2019"
electricity crisis,energy25,1015,"Mar 29, 2017"
solar power,energy26,354,"Aug 20, 2015"
solar power,energy27,2375,"Sep 21, 2019"
solar power,energy28,454,"Mar 12, 2018"
solar power,energy29,296,"Apr 8, 2018"
green india,energy30,926,2018
,,17270,
,,,
,,82470,
,,,
,,,
,,,
,,,
pollution,energy31,34072,"Jan 21, 2019"
air pollution,energy32,135,"Dec 12, 2019"
pollution,energy33,72,"Mar 22, 2013"
green india,energy34,973,"Feb 19, 2019"
fuel petrol price,energy35,2068,"Mar 18, 2019"
energy,energy36,716,2017
air pollution,energy37,1045,"Nov 6, 2019"
pollutants,energy38,626,2019
,,39707,
,,,
,,,
,,122177,
